  INFO root [2019-09-03 15:32:25,580] - 
 DEBUG root [2019-09-03 15:32:27,424] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-09-03 15:32:27,424] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-09-03 15:32:27,424] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-09-03 15:32:27,430] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
  INFO root [2019-09-03 15:32:27,440] - Script::uninstall(): is successfully!
 DEBUG root [2019-09-03 15:32:27,440] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-09-03 15:32:27,750] - ThreadPool::destroy(): waiting for thread(2)[0x7afdc0,0x7afe28,], try=1
 DEBUG root [2019-09-03 15:32:28,180] - TPThread::~TPThread(): 0x7afdc0
 DEBUG root [2019-09-03 15:32:28,180] - TPThread::~TPThread(): 0x7afe28
 DEBUG root [2019-09-03 15:32:28,180] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-09-03 15:32:28,230] - Bundle::destroyObjPool(): size 3.
 DEBUG root [2019-09-03 15:32:28,230] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-09-03 15:32:28,230] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-09-03 15:32:28,230] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-09-03 15:32:29,254] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-09-06 08:17:19,487] - 
  INFO root [2019-09-06 08:17:19,506] - -----------------------------------------------------------------------------------------


  INFO root [2019-09-06 08:17:19,512] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-09-06 08:17:19,513] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/BattleOfBalls_assets/;D:/kbengine/BattleOfBalls_assets/scripts/;D:/kbengine/BattleOfBalls_assets/res/
  INFO root [2019-09-06 08:17:19,513] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-09-06 08:17:19,533] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:61219 )
  INFO root [2019-09-06 08:17:19,533] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:61219, SOMAXCONN=5.
  INFO root [2019-09-06 08:17:19,552] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 4532 ----
  INFO root [2019-09-06 08:17:19,552] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-09-06 08:17:19,558] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-09-06 08:17:19,558] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-09-06 08:17:19,881] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-09-06 08:17:19,881] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-09-06 08:17:21,234] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-09-06 08:17:21,256] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-09-06 08:17:21,257] - ClientSDK::writeEngineMessagesModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-09-06 08:17:21,291] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-09-06 08:17:21,294] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-09-06 08:17:21,295] - ClientSDK::writeEntityDefsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-09-06 08:17:21,298] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-09-06 08:17:21,300] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-09-06 08:17:21,300] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-09-06 08:17:21,302] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-09-06 08:17:21,304] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-09-06 08:17:21,305] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-09-06 08:17:21,306] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-09-06 08:17:21,306] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-09-06 08:17:21,307] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-09-06 08:17:21,308] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-09-06 08:17:21,309] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
 DEBUG root [2019-09-06 08:17:21,309] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Food
 DEBUG root [2019-09-06 08:17:21,310] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/FoodBase.cs
 DEBUG root [2019-09-06 08:17:21,310] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallFoodBase.cs
 DEBUG root [2019-09-06 08:17:21,311] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Smash
 DEBUG root [2019-09-06 08:17:21,313] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/SmashBase.cs
 DEBUG root [2019-09-06 08:17:21,313] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallSmashBase.cs
  INFO root [2019-09-06 08:17:21,341] - Script::uninstall(): is successfully!
 DEBUG root [2019-09-06 08:17:21,341] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-09-06 08:17:21,677] - ThreadPool::destroy(): waiting for thread(2)[0x5a3d10,0x5a3280,], try=1
 DEBUG root [2019-09-06 08:17:22,078] - TPThread::~TPThread(): 0x5a3d10
 DEBUG root [2019-09-06 08:17:22,078] - TPThread::~TPThread(): 0x5a3280
 DEBUG root [2019-09-06 08:17:22,078] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-09-06 08:17:22,114] - Bundle::destroyObjPool(): size 7.
 DEBUG root [2019-09-06 08:17:22,115] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 08:17:22,115] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-09-06 08:17:22,116] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-09-06 08:17:23,149] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-09-06 16:14:26,358] - 
  INFO root [2019-09-06 16:14:26,367] - -----------------------------------------------------------------------------------------


  INFO root [2019-09-06 16:14:26,377] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-09-06 16:14:26,377] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/BattleOfBalls_assets/;D:/kbengine/BattleOfBalls_assets/scripts/;D:/kbengine/BattleOfBalls_assets/res/
  INFO root [2019-09-06 16:14:26,377] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-09-06 16:14:26,397] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:49606 )
  INFO root [2019-09-06 16:14:26,397] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:49606, SOMAXCONN=5.
  INFO root [2019-09-06 16:14:26,418] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 1068 ----
  INFO root [2019-09-06 16:14:26,418] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-09-06 16:14:26,428] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-09-06 16:14:26,428] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-09-06 16:14:26,622] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-09-06 16:14:26,622] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-09-06 16:14:27,577] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-09-06 16:14:27,587] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-09-06 16:14:27,587] - ClientSDK::writeEngineMessagesModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-09-06 16:14:27,601] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-09-06 16:14:27,601] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-09-06 16:14:27,607] - ClientSDK::writeEntityDefsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-09-06 16:14:27,607] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-09-06 16:14:27,611] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-09-06 16:14:27,611] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-09-06 16:14:27,611] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-09-06 16:14:27,611] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-09-06 16:14:27,617] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-09-06 16:14:27,617] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-09-06 16:14:27,617] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-09-06 16:14:27,617] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Food
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/FoodBase.cs
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallFoodBase.cs
 DEBUG root [2019-09-06 16:14:27,621] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Smash
 DEBUG root [2019-09-06 16:14:27,627] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/SmashBase.cs
 DEBUG root [2019-09-06 16:14:27,627] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallSmashBase.cs
  INFO root [2019-09-06 16:14:27,650] - Script::uninstall(): is successfully!
 DEBUG root [2019-09-06 16:14:27,650] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-09-06 16:14:27,958] - ThreadPool::destroy(): waiting for thread(2)[0x1c10660,0x1c10ba8,], try=1
 DEBUG root [2019-09-06 16:14:28,397] - TPThread::~TPThread(): 0x1c10660
 DEBUG root [2019-09-06 16:14:28,397] - TPThread::~TPThread(): 0x1c10ba8
 DEBUG root [2019-09-06 16:14:28,397] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-09-06 16:14:28,436] - Bundle::destroyObjPool(): size 7.
 DEBUG root [2019-09-06 16:14:28,436] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:14:28,436] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-09-06 16:14:28,436] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-09-06 16:14:29,477] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-09-06 16:34:25,916] - 
  INFO root [2019-09-06 16:34:25,920] - -----------------------------------------------------------------------------------------


  INFO root [2019-09-06 16:34:25,920] - Resmgr::initialize: KBE_ROOT=D:/kbengine/
  INFO root [2019-09-06 16:34:25,920] - Resmgr::initialize: KBE_RES_PATH=D:/kbengine/kbe/res/;D:/kbengine/BattleOfBalls_assets/;D:/kbengine/BattleOfBalls_assets/scripts/;D:/kbengine/BattleOfBalls_assets/res/
  INFO root [2019-09-06 16:34:25,920] - Resmgr::initialize: KBE_BIN_PATH=D:/kbengine/kbe/bin/server/
  INFO root [2019-09-06 16:34:25,936] - NetworkInterface::initialize(INTERNAL-TCP): bound to all interfaces with default route interface on 192.168.56.1 ( 192.168.56.1:49846 )
  INFO root [2019-09-06 16:34:25,936] - NetworkInterface::initialize(INTERNAL-TCP): address 192.168.56.1:49846, SOMAXCONN=5.
  INFO root [2019-09-06 16:34:25,936] - ---- tool Version: 2.4.5. ScriptVersion: 0.1.0. Pythoncore: 3.7.3. Protocol: ACE55A2934030C0DA3446BA0E5FAB5DD. Config: Debug X86. Built: 09:55:11 May  8 2019. AppID: 18446744073709551615. UID: 0. PID: 20852 ----
  INFO root [2019-09-06 16:34:25,936] - Server error_name: Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz with 2097151kB RAM
  INFO root [2019-09-06 16:34:25,936] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2019-09-06 16:34:25,936] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
  INFO root [2019-09-06 16:34:26,130] - Script::install(): is successfully, Python=(3.7.3 (default, May  8 2019, 09:53:38) [MSC v.1916 32 bit (Intel)])!
  INFO root [2019-09-06 16:34:26,130] - Script::install(): KBExtra is successfully!
 DEBUG root [2019-09-06 16:34:26,706] - ClientSDK::writeServerErrorDescrsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//ServerErrorDescrs.cs
 DEBUG root [2019-09-06 16:34:26,706] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/ServerErrorDescrs.cs
 DEBUG root [2019-09-06 16:34:26,706] - ClientSDK::writeEngineMessagesModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Messages.cs
 DEBUG root [2019-09-06 16:34:26,709] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/Messages.cs
 DEBUG root [2019-09-06 16:34:26,716] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/KBETypes.cs
 DEBUG root [2019-09-06 16:34:26,716] - ClientSDK::writeEntityDefsModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//EntityDef.cs
 DEBUG root [2019-09-06 16:34:26,720] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2019-09-06 16:34:26,720] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2019-09-06 16:34:26,720] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Account
 DEBUG root [2019-09-06 16:34:26,720] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/AccountBase.cs
 DEBUG root [2019-09-06 16:34:26,726] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallAccountBase.cs
 DEBUG root [2019-09-06 16:34:26,726] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Hall
 DEBUG root [2019-09-06 16:34:26,726] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/HallBase.cs
 DEBUG root [2019-09-06 16:34:26,726] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallHallBase.cs
 DEBUG root [2019-09-06 16:34:26,726] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Room
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallRoomBase.cs
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Food
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/FoodBase.cs
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallFoodBase.cs
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::writeEntityModule(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins//Smash
 DEBUG root [2019-09-06 16:34:26,730] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/SmashBase.cs
 DEBUG root [2019-09-06 16:34:26,736] - ClientSDK::saveFile(): D:\Unity\BattleOfBalls\Assets\Plugins\kbengine\kbengine_unity3d_plugins/EntityCallSmashBase.cs
  INFO root [2019-09-06 16:34:26,746] - Script::uninstall(): is successfully!
 DEBUG root [2019-09-06 16:34:26,746] - ThreadPool::destroy(): starting size 2.
  WARN root [2019-09-06 16:34:27,066] - ThreadPool::destroy(): waiting for thread(2)[0x969e0,0x96a48,], try=1
 DEBUG root [2019-09-06 16:34:27,506] - TPThread::~TPThread(): 0x969e0
 DEBUG root [2019-09-06 16:34:27,506] - TPThread::~TPThread(): 0x96a48
 DEBUG root [2019-09-06 16:34:27,506] - ThreadPool::destroy(): successfully!
 DEBUG root [2019-09-06 16:34:27,516] - Bundle::destroyObjPool(): size 7.
 DEBUG root [2019-09-06 16:34:27,516] - Channel::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - Address::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2019-09-06 16:34:27,516] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2019-09-06 16:34:27,516] - tool(18446744073709551615) has shut down. ClientSDK=true
  INFO root [2019-09-06 16:34:28,527] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2019-09-06 16:41:20,056] - 
